OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
0.0,0.0
0.0,0.0
133.0,-26.9
0.0,0.0
132.3,-38.5
139.5,-29.2
0.0,0.0
143.6,-29.3
0.0,0.0
146.3,-27.6
138.0,-38.9
118.1,-30.1
112.7,-32.8
115.7,-22.2
105.0,-40.3
104.9,-16.9
92.3,-44.2
96.2,-30.0
96.0,-26.8
91.6,-27.8
88.9,-27.6
75.9,-35.3
78.4,-6.9
76.8,-6.8
74.3,-12.9
40.2,-26.8
10.8,-7.2
0.0,0.0
80.2,-27.2
81.8,-18.6
83.5,-19.2
91.8,-38.8
90.3,-28.3
90.8,-24.8
93.0,-27.9
96.8,-39.4
100.8,-43.5
0.0,0.0
103.9,-40.6
109.8,-13.1
113.5,-33.1
114.2,-49.2
116.8,-42.5
116.7,-46.4
119.3,-40.5
123.5,-39.5
131.1,-18.0
122.9,-46.5
137.1,-15.2
132.6,-34.0
128.3,-43.1
129.0,-43.0
0.0,0.0
130.0,-43.3
137.5,-34.3
141.8,-28.8
138.6,-34.6
138.5,-35.6
143.1,-30.2
142.3,-32.1
141.3,-34.0
135.1,-41.8
113.8,-61.8
119.3,-56.4
150.2,-26.9
125.0,-50.5
126.6,-48.9
115.1,-58.7
128.8,-46.2
155.2,-21.0
114.6,-58.2
128.9,-44.9
122.1,-50.8
118.3,-53.8
139.2,-33.7
121.9,-49.5
121.5,-49.3
130.5,-40.1
127.3,-42.6
121.0,-48.0
139.7,-28.2
133.2,-34.2
134.6,-31.6
116.3,-49.3
114.8,-50.1
119.6,-44.1
129.5,-31.5
127.6,-32.6
128.8,-29.7
125.2,-31.4
109.2,-50.2
119.1,-36.7
0.0,0.0
126.5,-22.0
123.7,-24.4
111.1,-41.9
0.0,0.0
119.0,-25.8
90.8,-65.6
103.2,-47.7
109.1,-36.5
